Assigned,Name,Repo,Due
"February 27, 2023",Tic Tac Toe,https://github.com/SEIR-221-Resources/Tic-Tac-Toe-Lab,"March 1, 2023"
"March 1, 2023",Array Method Lab,https://github.com/SEIR-221-Resources/Array-Methods-Lab,"March 3, 2023"
"March 3, 2023",Project 1 Planning Materials,Week%202/Project%201%20Intro%202997015b3acb450eb2c7fb0d68c7abce.md,"March 6, 2023"
"March 6, 2023",Connect 4 Code Along (Optional),https://www.notion.so--,"March 6, 2023"
"February 28, 2023","Week 2 (../Coding%20Challenges%20Calendar/Week%202%20c9dcc6620bdf4674b550d04076f10c48.md) ",https://github.com/SEIR-221-Resources/daily-js-code-challenges,"March 7, 2023"
