Name,Assigned,Due,Repo
Array Method Lab,"March 1, 2023","March 3, 2023",https://github.com/SEIR-221-Resources/Array-Methods-Lab
Project 1 Planning Materials,"March 3, 2023","March 6, 2023",Week%202/Project%201%20Intro%202997015b3acb450eb2c7fb0d68c7abce.md
Tic Tac Toe,"February 27, 2023","March 1, 2023",https://github.com/SEIR-221-Resources/Tic-Tac-Toe-Lab
"Week 2 (../Coding%20Challenges%20Calendar/Week%202%20c9dcc6620bdf4674b550d04076f10c48.md) ","February 28, 2023","March 7, 2023",https://github.com/SEIR-221-Resources/daily-js-code-challenges
Connect 4 Code Along (Optional),"March 6, 2023","March 6, 2023",https://www.notion.so--
